iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,8.03988790512085,-6.1342520909858544,3.573465003059829,38.9306227624558,-11.801499371166164,0.0,182.1306579132422,0.05,0.1183624267578125,2.3305890560150146,0.024779467,0.032762412,-6.1342520909858544,0.0,40000,3.272034168243408,0.9614072118556838,0.3681914286272719,-7.935316488828374,0.0
1,7.698715925216675,-6.0227313864372025,2.9861384139573413,26.6464943367376,-12.884270525288493,0.0,151.95695610641542,0.05,0.20625948905944824,3.0229556560516357,0.023617478,0.03545135,-6.123100020530989,0.0,40000,4.955514192581177,0.3184361280349192,0.29060782496560283,-7.570864597083889,0.0
2,8.054986000061035,-6.0018895117413145,1.4940208066824168,0.555918385085683,-11.706162050308402,0.0,165.94452546993136,0.05,0.11321258544921875,2.7623393535614014,0.024042627,0.029313551,-6.110978969652022,0.0,40000,5.7555625438690186,0.09096372884096966,0.07338730276800659,-6.35316319042144,0.0
3,7.761923551559448,-5.683457633578254,1.8357062366974093,5.084303652725018,-14.489399153241878,0.0,169.23353142327142,0.05,0.1193544864654541,1.7065157890319824,0.024724128,0.02939608,-6.068226836044646,0.0,40000,6.671311140060425,0.12610229758770797,0.10349024523316991,-5.869752748250647,0.0
4,7.987090110778809,-5.373868860154276,2.30425222708062,14.469647548697699,-12.424425458018828,0.0,167.09556562416319,0.05,0.3483290672302246,3.778938055038452,0.024235293,0.031541698,-5.998791038455609,0.0,40000,12.874042749404907,0.16768490120398039,0.1480143234822119,-5.520920006672878,0.0
5,10.301936388015747,-4.924739902890716,2.7610661532927283,19.38307040788588,-10.772391644187852,0.0,147.3633458222891,0.05,0.18134737014770508,4.010858774185181,0.024605371,0.047527388,-5.89138592489912,0.0,40000,12.346770286560059,0.3478244975950118,0.2933657459184529,-5.5847931872547205,0.0
6,9.557387351989746,-4.940740995050712,2.194539999694781,7.911641195752364,-13.065426948056356,0.0,175.80859143088128,0.05,0.18289852142333984,4.541195631027222,0.024370473,0.029247386,-5.796321431914279,0.0,40000,13.372397184371948,0.21176774278840657,0.18705560037516714,-5.130250676917001,0.0
7,9.459880113601685,-4.897699856443661,2.3367166685908427,4.885591062038592,-13.91571991742164,0.0,166.6141820446955,0.05,0.09746289253234863,3.408357620239258,0.025027737,0.030043565,-5.706459274367218,0.0,40000,13.727335453033447,0.25487684206450245,0.1930041499823167,-5.2026100948705265,0.0
8,9.967061281204224,-4.362893802945644,3.9087633388583427,29.26723548302301,-15.934133689007384,0.0,183.72481429841093,0.05,0.24450254440307617,3.8557722568511963,0.02453925,0.028673973,-5.57210272722506,0.0,40000,11.96087908744812,0.5346326076398883,0.4506813680265553,-4.821797874728803,0.0
9,9.575162887573242,-4.657401858373412,2.6640530936450237,16.393489381222494,-11.650302577654848,0.0,178.60241838976177,0.05,0.2070934772491455,3.6575722694396973,0.024358071,0.03074028,-5.480632640339896,0.0,40000,8.763604879379272,0.35557050016793756,0.2798500877243997,-4.508680451635297,0.0
