iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,12.141579627990723,-5.530737477720838,1.3942629800367277,-0.1377607163912924,-9.434160021332932,0.0,210.18354834815494,0.05,0.23362994194030762,3.43636155128479,0.02394256,0.022455478,-5.530737477720838,0.0,40000,21.569015741348267,0.9367964155580268,0.059405921777341636,-5.258705515659401,0.0
1,11.875247716903687,-4.92980237020746,3.510172413452018,35.60787933138186,-10.153882833518017,0.0,182.38767609211283,0.05,0.16096043586730957,2.9940378665924072,0.024019778,0.0318468,-5.470643966969501,0.0,40000,26.293362140655518,0.49010079544566726,0.4102885170595917,-5.3243799604277715,0.0
2,11.841310262680054,-5.071979615444038,2.5596961545618155,22.570690795728048,-14.37818299093633,0.0,130.37601497214132,0.05,0.4111135005950928,8.25662636756897,0.024625724,0.16539583,-5.430777531816955,0.0,40000,19.57110333442688,0.2828390744996935,0.25529397448042157,-5.393298551487683,0.0
3,12.223068952560425,-5.215878259735164,1.9690591374402515,13.852414292848033,-11.553040285796447,0.0,206.26274981486344,0.05,0.31014442443847656,5.580441236495972,0.024747463,0.024666395,-5.409287604608776,0.0,40000,24.80089569091797,0.10719998620476963,0.08451171226395134,-5.264845215620405,0.0
4,11.753289937973022,-4.96783445389703,1.4585298766440873,2.7127985900256575,-10.971466941296661,0.0,159.6969038875495,0.05,0.232255220413208,4.550813913345337,0.024525274,0.031135825,-5.3651422895376015,0.0,40000,24.70270085334778,0.08514223462726365,0.07308085018505334,-5.313099447282518,0.0
5,12.07210087776184,-4.791803838941275,1.80639542794186,10.178307673670556,-8.2888961343918,0.0,210.03014530378826,0.05,0.20851397514343262,5.07105016708374,0.023923466,0.02467313,-5.307808444477969,0.0,40000,26.224685430526733,0.11535298212465074,0.09064793046149197,-4.7669947973159115,0.0
6,11.571457624435425,-4.225135559940068,1.8764464953699873,9.024360812879939,-12.289988736851518,0.0,168.17524112409995,0.05,0.17232871055603027,4.4822022914886475,0.024711445,0.035292793,-5.199541156024178,0.0,40000,22.09742546081543,0.19292947741167388,0.1453119827880258,-4.462389666207431,0.0
7,12.012078523635864,-4.261342231572302,3.0869263455653706,27.25549352940762,-11.441357574480296,0.0,199.25731924487877,0.05,0.1451711654663086,3.5058135986328125,0.02464775,0.028353203,-5.105721263578991,0.0,40000,32.973013401031494,0.4433885108759882,0.39346880455282723,-4.802173529666338,0.0
8,12.163901567459106,-4.45308735245773,1.8255083007219475,7.0070197144365585,-13.576408000491064,0.0,184.28552253736888,0.05,0.14119458198547363,3.4241013526916504,0.024256231,0.02487031,-5.040457872466865,0.0,40000,25.752423524856567,0.17667803382634928,0.11119505558309603,-4.412563307834725,0.0
9,12.143606185913086,-4.219730415633121,1.9804430716756867,8.748166564041318,-11.543737834338417,0.0,205.9148977223953,0.05,0.3410160541534424,4.057308912277222,0.024170265,0.023423724,-4.958385126783491,0.0,40000,24.05532670021057,0.20253459910945135,0.1613187805733976,-4.455853807051464,0.0
10,11.581310749053955,-4.020565655828481,1.9430257156861233,6.13925642932068,-8.09403114343272,0.0,204.32340708718482,0.05,0.45452356338500977,6.710772514343262,0.024698803,0.025090544,-4.8646031796879905,0.0,40000,15.848940134048462,0.21520196301004285,0.1871543994455198,-4.318138683459591,0.0
11,11.597636699676514,-4.095882813605108,1.728935494392634,7.351904084320377,-8.993808642072874,0.0,216.41923823215853,0.05,0.599853515625,5.73064661026001,0.024529492,0.024499197,-4.787731143079703,0.0,40000,24.73653745651245,0.19870172014812726,0.142512280929818,-2.486375248226459,0.0
12,11.719875812530518,-3.9447144988205487,2.430163050956335,16.376337835771377,-18.743585750178234,0.0,195.50247022084773,0.05,0.23465871810913086,4.27256965637207,0.024714662,0.027808608,-4.703429478653787,0.0,40000,23.71125054359436,0.3118417019041989,0.2563675670724261,-1.5317253803500668,0.0
13,12.097941160202026,-3.8451761583587993,2.520334235535414,13.044108298329325,-15.072959148124932,0.0,200.9227379804307,0.05,0.589693546295166,6.202275037765503,0.025248354,0.02687621,-4.617604146624288,0.0,40000,17.55440068244934,0.3924678589526006,0.3337352692627233,-1.8953165662228202,0.0
14,12.260464191436768,-3.778405254820368,2.6934266175143695,17.807487465296262,-10.595097501464187,0.0,200.1859986791603,0.05,0.3045310974121094,3.7400307655334473,0.025342159,0.02750952,-4.533684257443896,0.0,40000,18.098710775375366,0.46001124794558634,0.3853164561569548,-4.413182816520031,0.0
15,12.456817865371704,-3.764179055342379,2.808649323077694,24.95368282944102,-12.12589795880472,0.0,211.94543038509232,0.05,0.2147200107574463,3.893042802810669,0.024745679,0.024989016,-4.456733737233744,0.0,40000,12.798140048980713,0.4228986763053712,0.3174567139460317,-1.853279509988263,0.0
16,12.185465574264526,-3.7422029515268327,2.088514202370045,10.329266405170094,-7.027542392863094,0.0,207.70010681148688,0.05,0.2335071563720703,4.6414525508880615,0.024541872,0.024789048,-4.385280658663053,0.0,40000,12.922754287719727,0.31681350870038155,0.2505862660050636,-3.8447192038395777,0.0
17,12.25042724609375,-2.473974354385273,8.294183141142938,84.51984100024981,-12.567974928766914,0.0,237.29909331476333,0.05,0.23185229301452637,5.211031436920166,0.024100333,0.02377,-4.194150028235275,0.0,40000,19.67032742500305,0.9435905383334734,0.7603125329754972,-3.9529743331840996,0.0
18,12.337342023849487,-3.201901029008905,3.520746991629003,13.996648818305365,-15.898438972836713,0.0,221.27554718267444,0.05,0.2869386672973633,4.173357009887695,0.024725959,0.021720964,-4.094925128312638,0.0,40000,18.71024465560913,0.967595753245582,0.46242234565642787,-3.9562542451312845,0.0
19,12.418158292770386,-3.7359751981296188,3.2389436511523826,13.01781410565549,-13.47659910499441,0.0,195.52304852767688,0.05,0.20133447647094727,3.865746021270752,0.02494528,0.02571624,-4.059030135294336,0.0,40000,19.601628303527832,0.48194437732852663,0.29429308967228535,-3.7573390747032964,0.0
20,12.845836877822876,-3.3687467712100285,2.8978895186510805,15.483279192644442,-11.658593647717506,0.0,195.76208605707586,0.05,0.18011474609375,4.966225862503052,0.024742158,0.028239962,-3.990001798885905,0.0,40000,15.927022457122803,0.4883657052228783,0.37067883838821186,-3.949431599537146,0.0
21,11.502219438552856,-3.339883992967046,3.381082596469118,20.51152293781178,-13.03833919926924,0.0,190.98057991390698,0.05,0.1750473976135254,3.953747034072876,0.024772266,0.02890818,-3.9249900182940194,0.0,40000,17.951430320739746,0.5281704427344865,0.38840186959368456,-3.953660001196198,0.0
22,12.282735586166382,-3.3913543275318614,2.7523291134381647,7.635988887303273,-16.551959567483507,0.0,202.00340205661905,0.05,0.1828620433807373,4.269223690032959,0.024681615,0.024376087,-3.8716264492178034,0.0,40000,25.165250062942505,0.4764480700224556,0.2837418981854412,-3.8058216260453337,0.0
23,11.321988344192505,-3.4118342328161675,2.4491173926993763,13.645450208518495,-14.470569706937177,0.0,194.34594836494654,0.05,0.35252976417541504,4.863817930221558,0.025046445,0.026875671,-3.82564722757764,0.0,40000,17.770843029022217,0.35867976931249906,0.24531713264829494,-3.7644272849820197,0.0
24,12.338706016540527,-3.3915838435582346,3.1717192609400753,16.005026086881205,-15.561271759606537,0.0,202.04332500530398,0.05,0.35340046882629395,6.220585346221924,0.024377696,0.025695099,-3.7822408891756996,0.0,40000,18.059093236923218,0.46387945795849056,0.32178108488635687,-4.045958421522693,0.0
25,11.990098476409912,-3.4319555735007383,3.366778250253154,34.477782566233785,-15.944851454629292,0.0,205.00531810971947,0.05,0.5200636386871338,6.063117027282715,0.024503415,0.026164766,-3.7472123576082033,0.0,40000,12.438884973526001,0.5731966658636108,0.3977682370212187,-4.055497140335985,0.0
26,12.41424822807312,-2.8695979173153,5.398843091362901,41.62592014452559,-11.151576446548642,0.0,210.3413294427947,0.05,0.2899796962738037,6.391011476516724,0.024933113,0.024951188,-3.659450913578913,0.0,40000,9.830483436584473,0.7720697742396033,0.5958833856345706,-4.040079460159077,0.0
27,12.348025798797607,-3.1697185967574297,3.241110201646263,21.985324819228456,-12.031991274808753,0.0,204.92157301006176,0.05,0.3106226921081543,4.090503215789795,0.024883905,0.024609243,-3.6104776818967648,0.0,40000,12.587549924850464,0.8065492976062594,0.5028391434930771,-4.0130746937236506,0.0
28,13.007488250732422,-2.759398169046861,4.699944185385508,25.882740173549344,-16.939745030140262,0.0,173.229193870182,0.05,0.18741774559020996,4.828697919845581,0.02475932,0.031175956,-3.5253697306117746,0.0,40000,22.11974573135376,0.7449617380289479,0.5017125403585682,-3.824601760273101,0.0
29,12.345978021621704,-2.698490327202531,4.252460971789608,22.281190717480374,-13.233031957285652,0.0,213.18601332202024,0.05,0.28158044815063477,4.0480101108551025,0.02455873,0.024056163,-3.44268179027085,0.0,40000,25.349876642227173,0.7015203008037424,0.47296155752628544,-4.454929240679573,0.0
30,12.341036796569824,-2.6703999234863676,5.582299864452159,38.79032174338373,-12.080983086799405,0.0,213.25021597045054,0.05,0.21226286888122559,4.283470630645752,0.024753485,0.024493068,-3.365453603592402,0.0,40000,15.022876501083374,0.7293523232183069,0.4923780506017156,-3.7017101293335912,0.0
31,12.049598932266235,-2.8960420203305173,4.063479624959239,26.912602233241433,-11.535764595279122,0.0,206.7493880816239,0.05,0.17376399040222168,4.2592527866363525,0.0249762,0.024278818,-3.3185124452662134,0.0,40000,11.527762651443481,0.6626914700328114,0.43617879923282554,-3.7180573718842918,0.0
32,12.351316452026367,-2.2732229921424913,6.451738251453878,56.15134680121915,-14.369582558232537,0.0,198.82464604656843,0.05,0.22432732582092285,3.730569839477539,0.024910199,0.026617777,-3.2139834999538412,0.0,40000,15.141870260238647,0.822544854194608,0.6277712726350448,-3.560313089323086,0.0
33,12.600903987884521,-2.8310816111882495,4.836650439979359,50.184330511910986,-11.600500317355582,0.0,175.50105629834766,0.05,0.1609339714050293,4.770883560180664,0.024795555,0.03319532,-3.175693311077282,0.0,40000,17.74922275543213,0.7951388861924302,0.4989253200839476,-3.6429568080899912,0.0
34,12.42825984954834,-3.0321195771050116,3.88951598004722,15.160477065042839,-14.33779941770846,0.0,190.09934613548114,0.05,0.388411283493042,6.093814849853516,0.023693731,0.025402885,-3.161335937680055,0.0,40000,12.57984209060669,0.6074138461183517,0.3958079630995209,-3.446373871586364,0.0
35,11.722079992294312,-2.7311663602096785,5.485452824812472,56.893291122953784,-16.042811662730383,0.0,230.06190429405788,0.05,0.15740656852722168,5.0665998458862305,0.02468877,0.023245325,-3.1183189799330173,0.0,40000,22.506476879119873,0.7279636602760771,0.4811689903976795,-3.8806705097896823,0.0
36,12.690108299255371,-2.64969158664548,6.708194805390344,63.28948280140989,-13.67869018823213,0.0,210.38768498746924,0.05,0.42186403274536133,3.5353200435638428,0.024966031,0.026409922,-3.0714562406042636,0.0,40000,11.817432165145874,0.8268624579909591,0.523946079032991,-3.8225525473456514,0.0
37,12.623502731323242,-2.697273226268401,5.392250549405583,48.74850648659032,-15.630773665801554,0.0,206.3133086942658,0.05,0.3028836250305176,5.982915163040161,0.024954902,0.024723057,-3.0340379391706773,0.0,40000,12.479305744171143,0.8303515077766133,0.4940263033438955,-3.849047801457587,0.0
38,12.306824684143066,-2.7786898434927925,4.995435407701577,31.62487392418412,-14.47865882222679,0.0,221.6733034440984,0.05,0.2035531997680664,3.736765146255493,0.0248219,0.02227123,-3.008503129602889,0.0,40000,18.53843855857849,0.6864263750448409,0.40469637764421984,-3.711701563479865,0.0
39,12.850327491760254,-2.9790134037398897,3.1987554933684548,12.195333031740672,-13.722481085100796,0.0,226.38096388616023,0.05,0.2735428810119629,3.946195363998413,0.024460442,0.021672515,-3.005554157016589,0.0,40000,25.569122791290283,0.7557814535791195,0.47926622225045135,-2.360887385821182,0.0
