iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.567870140075684,-5.272397386142229,2.2846576744736358,9.1720773059918,-10.079294593440991,0.0,179.70731262434805,0.05,0.14579081535339355,3.371833086013794,0.024147915,0.02792753,-5.272397386142229,0.0,40000,6.715737581253052,0.9431815703494664,0.2062667438433839,-4.9861348097470595,0.0
1,10.320845127105713,-4.9635037292975275,2.3284943107297793,12.825663022804504,-9.53653035310415,0.0,189.18530482914855,0.05,0.16613197326660156,3.65240478515625,0.024578815,0.026737556,-5.241508020457759,0.0,40000,8.5414297580719,0.2535418325561685,0.21182733377270388,-5.106372128473114,0.0
2,9.489281177520752,-4.789641759913944,2.640030897565306,13.930730662373621,-13.157291805940794,0.0,204.2949214777305,0.05,0.17174959182739258,2.8632187843322754,0.024799323,0.024679963,-5.196321394403377,0.0,40000,11.138349771499634,0.25404074483801875,0.23415732821411986,-4.767480209018155,0.0
3,9.917956113815308,-4.890565876423763,2.2038286129751645,5.603353094777856,-9.992941534659533,0.0,187.10402291628958,0.05,0.1302638053894043,3.026296615600586,0.024770837,0.026261799,-5.165745842605416,0.0,40000,13.403609991073608,0.19854879323398333,0.15213664929674303,-4.513418522312339,0.0
4,9.790926456451416,-4.408146509557589,2.3982634845804713,10.714712919794978,-9.837481133779471,0.0,187.35189900215656,0.05,0.24489331245422363,4.852520942687988,0.024518881,0.026870904,-5.089985909300633,0.0,40000,15.268781185150146,0.24499244636355014,0.18947262609902327,-3.9513677370346176,0.0
5,10.271380424499512,-4.1803438088514016,2.1457402867760216,6.490514785331577,-8.705680554425566,0.0,182.00854285913746,0.05,0.16335535049438477,4.439855575561523,0.02418242,0.027238846,-4.99902169925571,0.0,40000,10.052468061447144,0.2220488654169186,0.16294503175794048,0.0723945575772445,0.0
6,9.83629584312439,-3.657624635251454,2.848618775492018,13.448916123265228,-10.960929235340584,0.0,192.59203561471517,0.05,0.19906091690063477,3.834200859069824,0.023295363,0.027332766,-4.864881992855285,0.0,40000,12.491711854934692,0.43084854866173283,0.3599834054834498,-3.7030726151040447,0.0
7,9.614570140838623,-3.710520972853932,3.4336576344898257,25.15194460691711,-12.551174938846506,0.0,179.01761083173056,0.05,0.13777613639831543,3.3649582862854004,0.023695806,0.031042716,-4.749445890855149,0.0,40000,13.042418479919434,0.5025143522115458,0.42853727444360745,-4.266075396778565,0.0
8,10.344025611877441,-3.649293737621897,3.1710260867456435,21.54790042980727,-12.255328801886545,0.0,177.23004739791645,0.05,0.15861868858337402,3.2211899757385254,0.024185965,0.028180396,-4.639430675531825,0.0,40000,18.291287660598755,0.48148690908663283,0.351231928258479,-3.6769139737717,0.0
9,10.012444496154785,-3.250086092133436,3.434447388598195,20.790136807135912,-9.809692936744957,0.0,202.10693751323328,0.05,0.16996455192565918,2.8661539554595947,0.023623599,0.025165368,-4.500496217191986,0.0,40000,18.650471210479736,0.5867637766377396,0.4087891447995319,-3.260792868397543,0.0
10,9.749950170516968,-3.3297904311292528,3.441017479391739,18.807467661993705,-17.017099066306958,0.0,193.81797892427952,0.05,0.1492147445678711,3.131255626678467,0.023618994,0.025343202,-4.383425638585713,0.0,40000,15.802081108093262,0.48256526415027373,0.35059835544501805,-0.0645754404846744,0.0
11,10.206435918807983,-3.3469894342468107,3.6053039648130722,30.844387032153552,-15.519992746815259,0.0,199.86368143855083,0.05,0.21497130393981934,3.231536388397217,0.0234506,0.02500153,-4.279782018151823,0.0,40000,14.237708568572998,0.603183056830267,0.4147924319670861,-3.293465023591591,0.0
12,10.753146171569824,-2.9940712286032034,4.385712425472305,28.055682633903416,-12.47350798444371,0.0,202.09507538298172,0.05,0.25570154190063477,4.7840118408203125,0.024091464,0.024642631,-4.151210939196961,0.0,40000,13.710347890853882,0.6844450747723514,0.5314162137820211,-3.5058587346666052,0.0
13,10.441570520401001,-3.224844273053258,3.7482399175809964,28.551781901715913,-13.89167946013679,0.0,198.45521075281593,0.05,0.1446075439453125,4.213626384735107,0.02486894,0.025246637,-4.05857427258259,0.0,40000,7.728872060775757,0.7169526349616071,0.3804906287022899,-3.6205550385435625,0.0
14,10.057822465896606,-2.5577717935843207,5.500780640420701,36.98805807347052,-10.050476607363489,0.0,191.8267712575999,0.05,0.234771728515625,3.6950390338897705,0.023964152,0.028583871,-3.9084940246827635,0.0,40000,15.038225889205933,0.8387954646926764,0.5890088019857275,-3.759111196523013,0.0
15,10.626935005187988,-3.212008026295072,3.1484956781802462,26.09913090051648,-11.55486965292472,0.0,205.79878261243752,0.05,0.1285839080810547,3.2798259258270264,0.024010556,0.023605203,-3.8388454248439947,0.0,40000,6.8894312381744385,0.651969247717351,0.45297882193574296,-3.718194604876656,0.0
16,10.033326387405396,-2.9380261857221255,3.517495943550588,22.38846473695178,-10.768459315877553,0.0,187.1588020072159,0.05,0.16014432907104492,3.8768081665039062,0.023317786,0.032239165,-3.748763500931808,0.0,40000,8.515893936157227,0.6638945109871154,0.4326567368693234,-3.721405089794773,0.0
17,9.986158847808838,-2.3553330014803255,7.991902063879885,82.39370868068978,-13.999128883692476,0.0,177.211842209055,0.05,0.21141481399536133,4.663159608840942,0.02383314,0.0312916,-3.6094204509866596,0.0,40000,16.538713216781616,0.8197153477291118,0.5067573063198738,-1.064576667653674,0.0
18,9.552787065505981,-2.7969800242652036,3.894525066051393,18.613053470614826,-14.157079555255576,0.0,190.99466961617935,0.05,0.08306264877319336,3.1529784202575684,0.023380078,0.023999734,-3.5281764083145144,0.0,40000,8.606632947921753,0.9544433250498913,0.4455647709262894,-3.6205117046418502,0.0
19,10.119832992553711,-2.47716692029514,5.686705091510046,55.08261785880149,-9.433350924943962,0.0,205.43830379768113,0.05,0.1485121250152588,2.785227060317993,0.024312958,0.025123062,-3.423075459512577,0.0,40000,11.404381513595581,0.8036660847521658,0.5058754856703922,-3.618074133827293,0.0
