iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,13.463176012039185,-5.441008188399589,1.8194907990249305,5.309166437158027,-9.438495029475966,0.0,183.7590182782518,0.05,0.2921719551086426,5.064054727554321,0.023829296,0.027508989,-5.441008188399589,0.0,40000,6.146984815597534,0.9402975911569881,0.12338826450360181,-4.574098447250796,0.0
1,11.7996244430542,-4.946120975640107,2.3698681744679866,13.876136225801067,-8.297732791821387,0.0,188.59756443624,0.05,0.468731164932251,7.211162328720093,0.024717815,0.026634887,-5.391519467123642,0.0,40000,19.987329959869385,0.27313238093992975,0.23732038322114798,-4.31006759558339,0.0
2,13.064274549484253,-4.497636058678952,2.6530706422073607,14.91247968206007,-8.292593681104082,0.0,192.88345423536856,0.05,0.34145498275756836,6.3612236976623535,0.024647305,0.026713664,-5.302131126279173,0.0,40000,21.149735689163208,0.3855734674432449,0.35674365229708316,-2.2201077972970857,0.0
3,13.391617774963379,-4.18070901591934,3.1172978908183446,13.619521859418423,-9.768527085614949,0.0,204.60451851831093,0.05,0.3026142120361328,5.0241615772247314,0.02478374,0.025834119,-5.189988915243189,0.0,40000,23.607075214385986,0.4305929327186892,0.37124398047208435,-1.1815856313382012,0.0
4,12.734611988067627,-4.386478285773937,2.126130647545269,11.328525798533805,-8.413540232291911,0.0,200.14194371749264,0.05,0.13718962669372559,3.407069206237793,0.02393684,0.02374488,-5.109637852296264,0.0,40000,25.569616079330444,0.3318276335173672,0.2598557954297914,-2.732490730536951,0.0
5,11.794291019439697,-3.533041757561118,3.714699357862814,23.102743831815044,-7.411474634471757,0.0,199.43495421964818,0.05,0.15136265754699707,9.148892402648926,0.024080766,0.024934446,-4.951978242822749,0.0,40000,15.256324768066406,0.694844719528964,0.5758017330453489,-3.084239837096796,0.0
6,11.625932455062866,-3.4327511398716206,4.830860707604282,35.82611532550397,-10.454743098331015,0.0,187.2147034489649,0.05,0.5200536251068115,6.300342798233032,0.023111911,0.02663444,-4.800055532527637,0.0,40000,12.588435411453247,0.7687918411965674,0.665946448121676,-2.126054789310104,0.0
7,12.082462072372437,-3.8462274272968897,2.4850507444766388,10.85697938778877,-11.384159967959238,0.0,189.2500003775164,0.05,0.2734377384185791,6.7964746952056885,0.024685973,0.02586939,-4.704672722004561,0.0,40000,15.407634496688843,0.5215964103792254,0.35678570481006877,-4.4750952461793485,0.0
8,11.568735837936401,-2.495727407981435,7.666899483895166,75.06383606563101,-12.68202329544514,0.0,207.4351167018956,0.05,0.3963150978088379,5.181319236755371,0.025385203,0.02725967,-4.483778190602249,0.0,40000,15.564375877380371,0.9481140724691883,0.7977777108234718,-2.2010173077256154,0.0
9,11.523051023483276,-2.418490545182858,4.810406458080812,32.21972599811872,-9.076271720769624,0.0,204.28045054380445,0.05,0.28844165802001953,4.05598258972168,0.023941256,0.024412116,-4.27724942606031,0.0,40000,9.30084776878357,0.9367167401590286,0.8001164699351565,-2.195687521189687,0.0
10,12.189825296401978,-3.2154608441167123,4.0012668090523755,17.573799352566816,-14.652931050978705,0.0,184.14772877929573,0.05,0.23390650749206543,6.810075998306274,0.02414205,0.026613675,-4.17107056786595,0.0,40000,15.467950582504272,0.6997627413880857,0.596229849968491,-4.661518326943949,0.0
11,12.228992462158203,-2.4067029855530757,6.276429013027146,35.907606639118,-13.60574474879422,0.0,183.12219125979746,0.05,0.2208540439605713,5.599072217941284,0.02418303,0.02884676,-3.9946338096346627,0.0,40000,12.637735843658447,0.8768210962444138,0.7235471073479712,-4.260690022484145,0.0
12,11.837833404541016,-0.1274283872833874,27.890087037448467,385.22037372650857,-11.400636605654858,0.0,186.38800577265033,0.05,0.26447224617004395,4.341278314590454,0.024190597,0.033967946,-3.6079132673995353,0.0,40000,22.138684511184692,0.9834532698890075,0.8857808914364972,-4.741739017162169,0.0
13,12.185693502426147,-3.2696851139345413,4.9100077244669835,38.7189698575672,-15.30467201281925,0.0,195.8306180835592,0.05,0.21335077285766602,4.020021438598633,0.024932291,0.025336495,-3.574090452053036,0.0,40000,24.59899115562439,1.0893967747248814,0.5927182474334297,-4.8670766214967385,0.0
14,12.160205364227295,-2.267270686489652,6.345672705140046,45.484251071808075,-14.486064738016227,0.0,182.9119783739522,0.05,0.41148805618286133,7.044199228286743,0.02420327,0.028271003,-3.4434084754966974,0.0,40000,17.5704824924469,0.8967377591452547,0.7435382285269594,-4.849633724144456,0.0
15,11.817514657974243,-2.622313612380757,4.571715784961901,31.369400940681516,-15.77634628590685,0.0,183.62240834519642,0.05,0.29213571548461914,6.28075647354126,0.024381131,0.027349247,-3.3612989891851033,0.0,40000,17.06355047225952,0.9212191655348565,0.6831808121129156,3.5915259230686853,0.0
16,12.293088912963867,-1.8599290136131623,5.972370302636576,32.5647304640605,-11.84015916173473,0.0,189.21337762747265,0.05,0.16777729988098145,6.798710346221924,0.024484705,0.028842201,-3.2111619916279093,0.0,40000,16.160346508026123,0.8342226857598009,0.6096388995347135,-1.859112509474947,0.0
17,12.032124996185303,-1.8108450030563137,7.160684005113062,57.003546223045085,-13.888791325044217,0.0,190.69994365962327,0.05,0.3638341426849365,5.931191682815552,0.023869751,0.024838684,-3.07113029277075,0.0,40000,19.65399694442749,0.8642425022976719,0.6444962520986919,1.848720305011874,0.0
18,12.046280145645142,0.13551444525119635,20.17165942013471,262.0799116921469,-11.567107218596808,0.0,215.18187500365815,0.05,0.18091344833374023,5.799442768096924,0.024447482,0.028232273,-2.750465818968556,0.0,40000,15.790817022323608,0.9109702154575011,0.7206103989147691,-1.5190547734405633,0.0
19,11.919585466384888,-1.7274690157884676,7.557126631129944,66.86087415553436,-16.19650496665034,0.0,193.55757712131322,0.05,0.21982550621032715,5.345415830612183,0.024030417,0.025390534,-2.648166138650547,0.0,40000,21.392273902893066,0.9249669831335301,0.692021985984835,-2.4689900555669873,0.0
20,11.6228928565979,-0.009479455279519407,10.467966658406274,88.48017784784794,-11.981236104115883,0.0,171.2565777729467,0.05,0.20614886283874512,6.556928873062134,0.0243009,0.029271526,-2.3842974703134443,0.0,40000,20.49325132369995,0.8299358025436788,0.6941448849608859,-1.0339316358131267,0.0
21,11.895107507705688,-0.1869487929911892,17.441407319107704,198.633777859545,-11.94588365618289,0.0,198.98426597786624,0.05,0.253995418548584,9.71006965637207,0.024746004,0.03042741,-2.164562602581219,0.0,40000,12.614161491394043,0.9592962164548626,0.6940339191837142,0.3555703007414148,0.0
