iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,15.872513055801392,-4.327915336644836,4.662816397139099,44.81987672022692,-9.652457911469218,0.0,166.607693670731,0.05,0.38891148567199707,7.107135534286499,0.02338916,0.034867935,-4.327915336644836,0.0,40000,14.458319187164307,0.9667673223973642,0.527244772677895,-4.76189930327634,0.0
1,15.762231588363647,-4.295299760586912,3.0844436074495873,12.998318537389528,-12.384852877636485,0.0,147.14936666048575,0.05,0.21568799018859863,5.44085431098938,0.023902604,0.0340653,-4.324653779039044,0.0,40000,20.218459367752075,0.4623828194791646,0.400865000223316,-4.054838972840799,0.0
2,14.722312211990356,-3.588140449284355,3.4819046365683164,15.691029181185636,-9.191975265745882,0.0,174.85518832515152,0.05,0.21391081809997559,4.485195875167847,0.023681931,0.027484158,-4.251002446063575,0.0,40000,23.976228713989258,0.5466156199129111,0.4743387767141703,-3.3767965219339926,0.0
3,14.637368202209473,-3.8973438087132375,4.245041174067168,35.1764574302308,-19.013920903134952,0.0,159.99479036146306,0.05,0.26001429557800293,4.760773420333862,0.02415972,0.083253756,-4.215636582328542,0.0,40000,22.93710994720459,0.5562981390246471,0.5043347264765357,-3.693431908614757,0.0
4,15.241287469863892,-3.7087731572280096,2.9797259944339274,17.462676151394128,-8.176160820442224,0.0,182.27618937095224,0.05,0.32098960876464844,6.292366981506348,0.024567608,0.02776726,-4.164950239818489,0.0,40000,30.092708349227905,0.4971557578199991,0.4345963728237233,-2.8467969885369344,0.0
5,14.951573610305786,-3.2011168515076345,3.220495520308228,14.002329423699395,-9.649554731508552,0.0,192.82966516204596,0.05,0.6112260818481445,8.620928287506104,0.024112789,0.025576953,-4.0685669009874035,0.0,40000,23.024738550186157,0.5798059015890704,0.47174038574734284,-2.8283213566088965,0.0
6,15.202230453491211,-3.0923090014455363,3.954858337506747,23.473879581214625,-9.276652963631243,0.0,191.5147090419072,0.05,0.22169280052185059,5.035166501998901,0.024373818,0.026524277,-3.970941111033217,0.0,40000,17.19066333770752,0.6409084003382614,0.5627477606404941,-3.2465134415427666,0.0
7,14.37345552444458,-2.739007024794428,6.746297064829824,54.05630171090007,-13.17740387294057,0.0,158.19183750851855,0.05,0.29248976707458496,6.028664827346802,0.024921471,0.033002418,-3.8477477024093383,0.0,40000,20.61505627632141,0.8181857399216105,0.700239190118066,-3.9542588374523455,0.0
8,15.146426439285278,-2.829636351965864,3.639750213711566,14.66307184073187,-12.419777447602346,0.0,178.02080899166785,0.05,0.3996458053588867,5.429363489151001,0.024562811,0.0279757,-3.745936567364991,0.0,40000,17.183104038238525,0.6314721278045985,0.48329704252387146,-3.3692679625269046,0.0
9,14.848907232284546,-1.57042406297865,5.808833113563375,42.826736061922325,-11.125749375164546,0.0,179.2816405350626,0.05,0.25447559356689453,7.311519384384155,0.024859171,0.028660089,-3.528385316926357,0.0,40000,15.71139931678772,0.8905125363599051,0.7503716350111999,-1.9904804057736993,0.0
10,15.049661636352539,-0.14372587711355578,36.69095133541125,513.9077740806537,-10.860153384193673,0.0,229.27223301692513,0.05,0.23934364318847656,6.1216654777526855,0.023964725,0.02924525,-3.1899193729450768,0.0,40000,19.23965811729431,0.9819444767155461,0.8819741674919038,-2.674669660022325,0.0
11,14.270916938781738,-2.8088888916618937,4.411945770027633,27.529506631828966,-10.519936588304319,0.0,191.3797566121605,0.05,0.24340295791625977,6.855705976486206,0.02474502,0.024945922,-3.1518163248167586,0.0,40000,24.18861699104309,2.559284938783835,0.677001929251791,-3.0158206452494034,0.0
12,15.24438762664795,-1.8979784565415998,8.126774743373687,83.60625311374196,-10.266117304234653,0.0,195.34649222401896,0.05,0.25237274169921875,4.571108818054199,0.023846583,0.027563727,-3.0264325379892427,0.0,40000,19.48496174812317,0.8906739202346226,0.8318501169179673,-3.211017008336634,0.0
13,14.919027090072632,-2.886183314325366,4.617886985346611,20.944245575049155,-14.078894225644067,0.0,185.3060601466132,0.05,0.24303269386291504,5.635377407073975,0.025074773,0.027373185,-3.012407615622855,0.0,40000,13.06783390045166,0.6678037791855758,0.6069311971380037,-3.035287994565158,0.0
14,14.890638589859009,-2.1880768067700154,5.54960033931452,30.738164053327438,-13.786712992555515,0.0,164.03812881189924,0.05,0.2683401107788086,4.75158953666687,0.024651883,0.036172383,-2.9299745347375707,0.0,40000,29.2387433052063,0.7858862425724489,0.6737062423245409,-1.5141567691718842,0.0
15,15.345646142959595,-1.8061587876034793,6.459234866369843,52.43770896190254,-13.925378779408474,0.0,179.65948356683475,0.05,0.23946309089660645,4.723607778549194,0.024720907,0.029484106,-2.817592960024162,0.0,40000,16.436121940612793,0.8864322049949761,0.7421413003689501,-2.252743585164995,0.0
16,15.179522037506104,-1.4696169466645115,6.950998434897453,35.28970409384918,-13.121924220745667,0.0,180.90240118303618,0.05,0.25084638595581055,3.876143217086792,0.024071334,0.029580994,-2.682795358688197,0.0,40000,27.647595405578613,0.8784973379349689,0.7485854298865663,-0.21099879356313306,0.0
