iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,11.702380657196045,-4.219422445861201,1.4454774056295434,4.887010045417979,-8.90159765409344,0.0,193.42194029232522,0.05,0.2055037021636963,5.407132863998413,0.02384623,0.025542248,-4.219422445861201,0.0,40000,16.883800506591797,0.9236095515738597,0.16098632291225617,-4.541104781773915,0.0
1,11.529057502746582,-4.083805841458845,2.0056451844859375,17.602781683183224,-10.692764875989262,0.0,183.7974623644514,0.05,0.17468976974487305,2.755221366882324,0.024081772,0.035485644,-4.205860785420966,0.0,40000,10.635710954666138,0.33064435133420217,0.3075115903902724,-4.6352767583351255,0.0
2,11.038208484649658,-3.554634784961733,2.4469524495311976,11.641997618594315,-10.837987949904457,0.0,179.90146066342982,0.05,0.1878368854522705,4.072170257568359,0.025092425,0.03988559,-4.140738185375043,0.0,40000,17.21941113471985,0.4464554186531927,0.38803955030938175,-4.585074381231688,0.0
3,12.21337366104126,-4.041929901046874,2.577783806333881,24.357039335922156,-11.48422937016669,0.0,174.09868842039876,0.05,0.24657773971557617,4.718667030334473,0.023743981,0.027189944,-4.130857356942227,0.0,40000,15.886570930480957,0.33734960631427,0.27879673107053954,-4.129660333990515,0.0
4,12.110954523086548,-3.4194756762856855,2.7456530411392563,19.21765337684116,-12.352809352662783,0.0,207.477424223614,0.05,0.2383880615234375,4.129659175872803,0.024421325,0.024523854,-4.0597191888765725,0.0,40000,13.776955127716064,0.49598050827989526,0.4336460423513097,-4.265175518278615,0.0
5,12.014115810394287,-3.489979250023505,2.4462434763805128,10.174130021365256,-12.51744810204386,0.0,202.8452414270491,0.05,0.2869436740875244,3.8997771739959717,0.024865516,0.024286324,-4.002745194991266,0.0,40000,16.683090686798096,0.421401129190086,0.3758500911770465,-4.561861408821854,0.0
6,11.803196668624878,-2.6188456449495963,3.8593166446686458,25.06743552656244,-13.292193540583485,0.0,239.2605551442535,0.05,0.287367582321167,5.045830965042114,0.024163915,0.021501642,-3.864355239987099,0.0,40000,20.317280769348145,0.7557564421428066,0.6805272220354117,-3.6614353398965034,0.0
7,11.793381690979004,-3.0923202729088133,3.650752716343789,16.773176761842436,-14.830220296977693,0.0,188.81640238620514,0.05,0.20752763748168945,4.424962759017944,0.024556464,0.028709158,-3.7871517432792703,0.0,40000,23.164767026901245,0.6718690219846375,0.6034445283963391,-1.7595796235582015,0.0
8,12.236369371414185,-2.8803612783866557,3.7600754663634106,17.409135364347577,-15.82607330298179,0.0,224.1249222945541,0.05,0.3029623031616211,8.642164707183838,0.024557834,0.02226542,-3.696472696790009,0.0,40000,21.672428369522095,0.6436425323690463,0.5434414657124625,-0.7385058653553529,0.0
9,14.203331708908081,-2.2055820639822077,4.41598728344118,26.285926372230467,-13.90800835729077,0.0,218.28090362779253,0.05,0.34371423721313477,6.552790880203247,0.0241012,0.022752922,-3.5473836335092286,0.0,40000,24.46766471862793,0.7470947728307081,0.6472441911065983,-3.8577609418854912,0.0
