iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,14.07282829284668,-5.743566202917736,2.275027334850309,5.239622678977009,-9.625917464907207,0.0,195.84240147360183,0.05,0.1605539321899414,5.494823217391968,0.02338118,0.022505626,-5.743566202917736,0.0,40000,21.758253574371338,0.9493395014630422,0.18246999292674515,-5.106523769759429,0.0
1,14.85678219795227,-5.784434191233288,1.9551853320387724,8.474929214122366,-9.57009477449097,0.0,181.94842307552838,0.05,0.17581510543823242,4.003121852874756,0.023957614,0.028940286,-5.747653001749292,0.0,40000,14.525066375732422,0.1280259750697804,0.11046280496047077,-4.812245369844587,0.0
2,14.957698345184326,-5.1354908666280785,2.591993235055541,10.915296007102537,-10.3681355446269,0.0,188.19133460740372,0.05,0.15349745750427246,3.766451358795166,0.025304275,0.028695272,-5.686436788237171,0.0,40000,16.96583890914917,0.2806317166474451,0.25740848428732155,-3.995776370067266,0.0
3,14.096163272857666,-4.8954500623007,2.828967616779291,15.76692680133504,-8.772555770003338,0.0,204.48931193377533,0.05,0.3637075424194336,6.473017930984497,0.02431697,0.023457227,-5.6073381156435245,0.0,40000,28.358909368515015,0.3062861687325804,0.27743573850709047,-3.8806887507329217,0.0
4,13.821974277496338,-5.1237674382534655,2.151506502341673,6.120582158332108,-11.957190115184366,0.0,192.08570332282608,0.05,0.14533567428588867,4.3296427726745605,0.023296857,0.025265453,-5.558981047904519,0.0,40000,25.79315733909607,0.20811102693740485,0.1807521222461652,-3.7605993534805253,0.0
5,13.948996782302856,-4.248261393415372,3.8512233483465383,31.828334876371436,-14.176662218694633,0.0,170.35791924256142,0.05,0.19883108139038086,4.027338266372681,0.024496634,0.030178364,-5.427909082455604,0.0,40000,21.85595464706421,0.5459493087005493,0.4651075758242086,-3.4906294524183767,0.0
6,12.404410123825073,-4.070276698785244,3.2260042563483324,18.33273086859383,-13.273839693071617,0.0,180.5028906981255,0.05,0.1481621265411377,3.7143847942352295,0.02394296,0.02798626,-5.292145844088568,0.0,40000,23.489988327026367,0.43655229677691704,0.38864905640363956,-3.7440859087209306,0.0
7,12.21701717376709,-3.6637460179300962,3.93137344402057,13.993673808197157,-12.3095841711893,0.0,203.74323596174662,0.05,0.11084961891174316,4.578127861022949,0.024809577,0.024948804,-5.12930586147272,0.0,40000,17.133949279785156,0.6147977193040531,0.519503902749672,-3.5205012040449764,0.0
8,12.217076063156128,-4.020291083139633,3.417942729508744,16.592690033599993,-13.117412286413256,0.0,194.71480206683847,0.05,0.20244407653808594,3.9054503440856934,0.024804944,0.027229922,-5.018404383639412,0.0,40000,16.338855743408203,0.47807654326663324,0.40119989211378904,-3.6838053169986926,0.0
9,11.533193588256836,-3.6671702450421693,4.052563476352041,31.091622125467683,-11.691284335481317,0.0,203.9225850465503,0.05,0.11757969856262207,5.124767541885376,0.02437435,0.025378017,-4.883280969779688,0.0,40000,15.0570650100708,0.6659207406230094,0.5763508224378823,-3.3994486689286485,0.0
10,12.586069345474243,-3.5881608811682315,5.099833771074605,48.6221181530599,-13.506059562509433,0.0,204.81516770046122,0.05,0.22805356979370117,4.584040641784668,0.024623672,0.02623132,-4.753768960918542,0.0,40000,26.372703313827515,0.6651829078600809,0.5501955191753128,1.47524661333118,0.0
11,11.983087301254272,-3.254466887907679,5.231282850325797,28.12658208835333,-13.016474611122659,0.0,196.95349577130546,0.05,0.1846780776977539,4.936370134353638,0.025292465,0.025941372,-4.603838753617456,0.0,40000,19.777772426605225,0.6624788380765142,0.5277483481970741,-2.222194747788889,0.0
12,12.211354970932007,-2.949431960442615,10.220150670188676,131.15560494908294,-15.04357652689375,0.0,104.87005930317169,0.05,0.20108985900878906,5.224381923675537,0.024718104,0.056347612,-4.438398074299973,0.0,40000,17.06078267097473,0.9269712338260353,0.8313740814204851,-2.7950311996045833,0.0
13,12.21511697769165,-3.4395178799437303,3.6728319658312794,10.872008327438458,-13.05914358609881,0.0,198.10345207259712,0.05,0.16075468063354492,4.243540048599243,0.025434408,0.025479665,-4.338510054864349,0.0,40000,20.97931671142578,0.6823751093852926,0.4186530594684528,-2.8226410386013026,0.0
14,11.708841562271118,-3.9094110586521174,3.246152838591939,11.972489446891137,-14.244477051730545,0.0,192.2021984613846,0.05,0.18822669982910156,4.922207593917847,0.025004257,0.025946444,-4.295600155243126,0.0,40000,26.52443218231201,0.39177338916577176,0.30773681035297457,-1.39525378870811,0.0
15,12.864775657653809,-3.0434729221927337,4.020172454187793,13.3959684423597,-11.930506008931262,0.0,208.50990993548183,0.05,0.1592104434967041,3.4475224018096924,0.025168376,0.024973154,-4.170387431938087,0.0,40000,19.966689348220825,0.601222555719643,0.49312788809048147,3.749483594988121,0.0
16,12.527594566345215,-3.488954959085602,3.898461433761295,10.192537070446514,-13.798968831542725,0.0,204.46374012752113,0.05,0.22746658325195312,4.2137885093688965,0.024954129,0.024539923,-4.102244184652839,0.0,40000,18.308913469314575,0.4651693919678278,0.3808314720444057,0.19884946686481889,0.0
17,12.578482389450073,-3.84719279750469,4.228810248428843,13.922162085401574,-18.275865121000038,0.0,203.0265847887731,0.05,0.24837589263916016,3.632967710494995,0.023944885,0.024615284,-4.076739045938024,0.0,40000,21.828119039535522,0.40904750339926405,0.32454078877341463,3.781089865818592,0.0
18,12.460710525512695,-2.4700759675023494,10.3966669519771,130.75748789722456,-14.964692905915248,0.0,184.37499658709038,0.05,0.20368742942810059,3.9557597637176514,0.024927966,0.027765887,-3.9160727380944564,0.0,40000,22.36126208305359,0.8964680040272139,0.6538462745264101,8.555791851765493,0.0
19,12.116026163101196,-2.9717119020860694,4.57204290472818,29.220942883388414,-12.094910737510423,0.0,209.21877926635355,0.05,0.16923904418945312,5.393669128417969,0.025053924,0.023872241,-3.8216366544936182,0.0,40000,20.35211420059204,0.9045735896285974,0.6329826047515466,2.320926458835129,0.0
20,12.14117956161499,-2.050204385563095,13.640427701824601,175.9799940217963,-13.26340818370192,0.0,189.393383199864,0.05,0.22138452529907227,3.3316891193389893,0.025208395,0.039226864,-3.6444934276005663,0.0,40000,19.878576278686523,0.9363224480239402,0.8353010897913069,1.1429552071268574,0.0
21,12.293100833892822,-3.4432873142372222,3.882261266243825,18.888923460258944,-11.812391365706105,0.0,182.8495969522212,0.05,0.30410218238830566,5.188812732696533,0.024771808,0.027874885,-3.6243728162642324,0.0,40000,14.561247110366821,1.0253938754918344,0.36796746226595106,1.6619749946437994,0.0
22,12.220252752304077,-2.4560721883682675,7.353705705069423,47.18043260814973,-15.548966623485773,0.0,213.46308526872818,0.05,0.20661687850952148,7.915786981582642,0.025176203,0.024708696,-3.507542753474636,0.0,40000,17.34888792037964,0.707881971677991,0.5790615705033868,4.738797771999739,0.0
23,12.176086187362671,-2.4688298792978696,5.792416117146716,31.488642240979118,-14.80155760759965,0.0,197.2442557490035,0.05,0.3071134090423584,4.87608790397644,0.025246026,0.026087759,-3.4036714660569594,0.0,40000,19.18115210533142,0.6188974033811395,0.49712148363712344,-1.4684244798206776,0.0
24,12.402368545532227,-2.5126542844503605,6.201885839456744,28.760839020475423,-16.89035965236272,0.0,198.564151734824,0.05,0.26833629608154297,5.828502655029297,0.02512892,0.026440317,-3.3145697478962997,0.0,40000,21.23196792602539,0.6801683204391896,0.5531284134509099,0.3838998957367524,0.0
25,12.563306331634521,-2.0814856890158926,15.526829733322124,205.10892502794485,-15.669774155790801,0.0,209.47038838557495,0.05,0.27927708625793457,6.7003984451293945,0.024454094,0.035490435,-3.191261342008259,0.0,40000,19.280170440673828,0.890501515986043,0.7405178054772723,-1.5345925310619524,0.0
26,12.510002136230469,-1.7448986333693475,9.423634402271897,98.01547456852056,-16.257540353755743,0.0,204.65094413499097,0.05,0.28374528884887695,5.0687384605407715,0.024827026,0.036295224,-3.046625071144368,0.0,40000,20.507890462875366,0.9134343251713534,0.6695731954020063,-5.00654995867676,0.0
27,12.461323499679565,-2.114025409040881,6.427693734664867,25.33114306907032,-15.045430832249044,0.0,213.68817353034723,0.05,0.17708539962768555,3.287534475326538,0.024653522,0.023584085,-2.9533651049340195,0.0,40000,14.424820184707642,0.8381746725198186,0.6372587818909792,-4.5239096777403764,0.0
28,12.045799970626831,-2.903320825881344,5.950202280258126,26.983462293831536,-17.355906732155873,0.0,208.3301997130287,0.05,0.2753925323486328,5.211207628250122,0.02488063,0.023755522,-2.948360677028752,0.0,40000,15.006141185760498,0.6662695760245833,0.5196718881540828,-1.3262234859319926,0.0
29,12.166101932525635,-2.8186522065209823,4.887391932975701,34.10090781694207,-12.052371800471551,0.0,210.7043769245145,0.05,0.14465022087097168,3.7316126823425293,0.024525229,0.024264194,-2.935389829977975,0.0,40000,15.298838376998901,0.5866631615670074,0.4852638482643198,-4.587790037026416,0.0
30,12.408517837524414,-2.4788595918517156,5.489817958986925,23.638053188677404,-17.516067760769406,0.0,213.82602724363062,0.05,0.16048669815063477,4.314809083938599,0.024903487,0.024256038,-2.8897368061653492,0.0,40000,11.893797159194946,0.6066240436226416,0.5141083487831158,-2.6394615943107818,0.0
31,12.545175552368164,-2.554225565718754,5.677394964426199,38.137984362642584,-16.63052139329677,0.0,198.7229483172751,0.05,0.3733236789703369,3.5329949855804443,0.024408592,0.026158296,-2.8561856821206897,0.0,40000,11.33185863494873,0.5949642320973401,0.453470282251018,-3.507185814963398,0.0
32,12.769999504089355,-1.2759855842276786,7.768108892095742,46.128039213415825,-13.82683918200201,0.0,199.3759931242878,0.05,0.2228846549987793,4.762876749038696,0.025128607,0.026529515,-2.6981656723313887,0.0,40000,12.102070093154907,0.763397197597931,0.6014949825251537,-3.009143245443555,0.0
33,12.059556007385254,-2.1060755851809256,6.237833535134,36.80940472906383,-13.848129749627882,0.0,199.09447579952666,0.05,0.24419522285461426,4.121854543685913,0.025076415,0.026531551,-2.6389566636163426,0.0,40000,19.023719310760498,0.6817285925138138,0.5003281270834162,-2.6422584604490424,0.0
34,13.366140127182007,-1.7016920366438903,7.918659181393807,50.87413233260637,-15.996033327623595,0.0,195.0074292807595,0.05,0.12893438339233398,3.564293384552002,0.024570672,0.025590433,-2.5452302009190975,0.0,40000,24.958884716033936,0.6953596410531385,0.5265218067337757,-2.8419952949224507,0.0
35,12.366604804992676,-1.9982407770287114,6.891819064921219,34.93879918230025,-14.05887336789011,0.0,193.9035739338251,0.05,0.16100859642028809,4.59311056137085,0.024683282,0.02603094,-2.490531258530059,0.0,40000,24.122579336166382,0.6621706148851618,0.49817760889475177,-0.7387180597164863,0.0
36,12.728136777877808,-1.702280360528324,7.442641676159714,48.81367907242201,-13.831610799838552,0.0,210.05658830942343,0.05,0.19511079788208008,6.6082189083099365,0.024854636,0.024740273,-2.4117061687298857,0.0,40000,14.654273509979248,0.8007462065238518,0.5386106726779076,-2.283179451613245,0.0
37,12.476052284240723,-0.8765220795137546,8.424626293107385,59.37592381636345,-14.399256634584331,0.0,195.9429969009714,0.05,0.27791309356689453,5.524353981018066,0.025231933,0.026954345,-2.2581877598082727,0.0,40000,19.77068066596985,0.6726577638291901,0.48705165770257813,-2.6717481431017784,0.0
38,12.7409508228302,-0.45268352296501346,8.059187614907295,55.08300354315987,-13.848692400961301,0.0,186.3627758048082,0.05,0.2403402328491211,5.961564064025879,0.025315735,0.03215405,-2.077637336123947,0.0,40000,19.987816095352173,0.6288478149240043,0.4338733536691058,-2.3819584076410383,0.0
39,12.78318738937378,-0.31052088495507296,8.019280162142726,45.29928665092009,-14.562839861646793,0.0,197.46434135613256,0.05,0.24496030807495117,4.535397529602051,0.024871787,0.026190663,-1.9009256910070595,0.0,40000,20.795718908309937,0.688069330850934,0.49923889773981667,-2.789234322377161,0.0
40,12.856929779052734,-0.41506121754224823,7.611772913308584,42.52504812635045,-15.482913095897974,0.0,191.39415006264986,0.05,0.2137925624847412,6.4781317710876465,0.024913663,0.026113229,-1.7523392436605785,0.0,40000,17.38289761543274,0.7720832140561198,0.5379320427736107,-3.278144286632541,0.0
41,12.541698455810547,-1.0549265149083342,9.740175644220209,71.4745817345818,-18.14186923745378,0.0,209.51177901150007,0.05,0.23276686668395996,4.267809629440308,0.024987428,0.023953505,-1.682597970785354,0.0,40000,20.43236017227173,0.6079661680657902,0.44670273099283564,-2.4582935523218445,0.0
42,12.657104969024658,-0.5618396792775754,9.85766798451929,71.54366448846642,-15.86575964594695,0.0,198.83236680348344,0.05,0.19005656242370605,4.620629549026489,0.02470776,0.02532057,-1.5705221416345763,0.0,40000,18.02925133705139,0.6116758702350951,0.45876032873349754,-3.1723860022740604,0.0
43,12.913491249084473,0.578925175118884,12.067172242700911,92.62541721972035,-15.663948957245909,0.0,186.70890158619994,0.05,0.08866190910339355,4.628873825073242,0.024812132,0.027961275,-1.3555774099592304,0.0,40000,19.98000955581665,0.830623961497901,0.49384011243451176,-2.057325407829433,0.0
